"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
"02","05055033000152-1-000001/2025","JOSIANE DE OLIVEIRA DE MENEZES","18017/2024","Não","Não","-","07/01/2025 a 07/01/2027","176640","0","176640"
"020","05055033000152-1-000025/2025","MARIA NAZARE DE OLIVEIRA","17946-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","579931.2","0","579931.2"
"020","05055033000152-1-000058/2025","M FELIPE GALVAO LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","729700","0","729700"
"020","49159407000155-1-000003/2025","VENTISOL DA AMAZONIA INDUSTRIA DE APARELHOS ELETRICOS LTDA","1514/2025-GMB","Não","Não","-","05/12/2025 a 10/04/2026","41075.16","0","41075.16"
"021","05055033000152-1-000020/2025","FRANCISCO PEDROZA DE CARVALHO","17960-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","128439.6","0","128439.6"
"021","05055033000152-1-000059/2025","B. D. R. COMERCIO DE EQUIPAMENTOS LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","16500","0","16500"
"022","05055033000152-1-000017/2025","C E A ASSIS LTDA","2909-2025-SEMEC","Não","Não","-","18/03/2025 a 17/03/2026","75600","0","75600"
"022","05055033000152-1-000034/2025","LUCIDALVA CHAGAS DE ANDRADE","17971","Não","Não","-","06/01/2025 a 06/01/2027","240528.72","0","240528.72"
"022","05055033000152-1-000060/2025","DAVANTI MAQUINAS, MOVEIS E EQUIPAMENTOS INDUSTRIAIS LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","82539.2","0","82539.2"
"023","05055033000152-1-000021/2025","DANIELA PAIXAO FAGUNDES","17952-2024-SEMEC","Não","Não","-","09/01/2025 a 09/01/2027","153807.84","0","153807.84"
"023","05055033000152-1-000061/2025","SILVA DISTRIBUIDORA E FERRAGISTA LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","18850","0","18850"
"024","05055033000152-1-000011/2025","PAULO ALEXANDRE ANDRADE DE OLIVEIRA","18065-2024-SEMEC","Não","Não","-","09/01/2025 a 09/01/2027","0","0","0"
"024","05055033000152-1-000062/2025","ITALIA EMPREENDIMENTOS LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","25080","0","25080"
"025","05055033000152-1-000027/2025","FRANCIANGELO DE SOUSA BRAGA","18003-2024-SEMEC","Não","Não","-","13/01/2025 a 13/01/2027","345401.76","0","345401.76"
"025","05055033000152-1-000028/2024","DISTRIBUIDORA PROGRESSO COMERCIO DE ALIMENTOS EM GERAL LTDA","1625-2024-SEMEC","Não","Sim","Valor","27/03/2024 a 26/03/2025","151315.4","0","151315.4"
